,INCIDENT_NUMBER,OFFENSE_CODE,OFFENSE_CODE_GROUP,OFFENSE_DESCRIPTION,DISTRICT,REPORTING_AREA,SHOOTING,OCCURRED_ON_DATE,YEAR,MONTH,DAY_OF_WEEK,HOUR,UCR_PART,STREET,Lat,Long,Location,date
0,I182070945,619,Larceny,LARCENY ALL OTHERS,D14,808,,2018-09-02 13:00:00,2018,9,Sunday,13,Part One,LINCOLN ST,42.35779134,-71.13937053,"(42.35779134, -71.13937053)",2018-09-02
36,I182070892,613,Larceny,LARCENY SHOPLIFTING,B2,276,,2018-09-03 17:54:00,2018,9,Monday,17,Part One,SHAWMUT AVE,42.33318299,-71.08307607,"(42.33318299, -71.08307607)",2018-09-03
45,I182070885,619,Larceny,LARCENY ALL OTHERS,B3,456,,2018-09-03 17:17:00,2018,9,Monday,17,Part One,ELLINGTON ST,42.30154555,-71.08118184,"(42.30154555, -71.08118184)",2018-09-03
54,I182070874,617,Larceny,LARCENY THEFT FROM BUILDING,A1,102,,2018-09-03 16:00:00,2018,9,Monday,16,Part One,WINTER ST,42.35602373,-71.06177615,"(42.35602373, -71.06177615)",2018-09-03
60,I182070868,616,Larceny,LARCENY THEFT OF BICYCLE,D14,790,,2018-09-03 06:15:00,2018,9,Monday,6,Part One,CHESTNUT HILL AVE,42.3353997,-71.15025675,"(42.33539970, -71.15025675)",2018-09-03
70,I182070856,613,Larceny,LARCENY SHOPLIFTING,D4,138,,2018-09-03 14:31:00,2018,9,Monday,14,Part One,NEWBURY ST,42.35059717,-71.07881031,"(42.35059717, -71.07881031)",2018-09-03
78,I182070846,613,Larceny,LARCENY SHOPLIFTING,C11,381,,2018-09-03 14:07:00,2018,9,Monday,14,Part One,GALLIVAN BLVD,42.28512354,-71.04405667,"(42.28512354, -71.04405667)",2018-09-03
85,I182070838,613,Larceny,LARCENY SHOPLIFTING,D4,146,,2018-09-03 14:00:00,2018,9,Monday,14,Part One,HUNTINGTON AVE,42.3479724,-71.07849582,"(42.34797240, -71.07849582)",2018-09-03
90,I182070834,617,Larceny,LARCENY THEFT FROM BUILDING,D14,794,,2018-08-23 10:41:00,2018,8,Thursday,10,Part One,RADCLIFFE RD,42.35085449,-71.13408859,"(42.35085449, -71.13408859)",2018-08-23
98,I182070828,613,Larceny,LARCENY SHOPLIFTING,D4,146,,2018-09-03 10:00:00,2018,9,Monday,10,Part One,HUNTINGTON AVE,42.3479724,-71.07849582,"(42.34797240, -71.07849582)",2018-09-03
110,I182070816,619,Larceny,LARCENY ALL OTHERS,C6,185,,2018-09-03 12:45:00,2018,9,Monday,12,Part One,MASSACHUSETTS AVE,42.32198656,-71.06280666,"(42.32198656, -71.06280666)",2018-09-03
120,I182070805,616,Larceny,LARCENY THEFT OF BICYCLE,E5,564,,2018-09-02 21:51:00,2018,9,Sunday,21,Part One,ARCHDALE RD,42.29277202,-71.12138967,"(42.29277202, -71.12138967)",2018-09-02
133,I182070792,613,Larceny,LARCENY SHOPLIFTING,D4,129,,2018-09-03 11:18:00,2018,9,Monday,11,Part One,BOYLSTON ST,42.35095909,-71.0741278,"(42.35095909, -71.07412780)",2018-09-03
150,I182070777,619,Larceny,LARCENY ALL OTHERS,C11,388,,2018-08-23 13:34:00,2018,8,Thursday,13,Part One,ADAMS ST,42.27230624,-71.06721386,"(42.27230624, -71.06721386)",2018-08-23
205,I182070707,619,Larceny,LARCENY ALL OTHERS,D14,782,,2018-09-02 23:12:00,2018,9,Sunday,23,Part One,GORDON ST,42.35293536,-71.14050052,"(42.35293536, -71.14050052)",2018-09-02
211,I182070699,613,Larceny,LARCENY SHOPLIFTING,C6,186,,2018-09-02 22:55:00,2018,9,Sunday,22,Part One,ALLSTATE RD,42.32809966,-71.06321676,"(42.32809966, -71.06321676)",2018-09-02
213,I182070696,619,Larceny,LARCENY ALL OTHERS,D4,623,,2018-09-02 22:15:00,2018,9,Sunday,22,Part One,COMMONWEALTH AVE,42.34877575,-71.09606805,"(42.34877575, -71.09606805)",2018-09-02
241,I182070663,613,Larceny,LARCENY SHOPLIFTING,B3,428,,2018-09-02 21:20:18,2018,9,Sunday,21,Part One,MORTON ST,42.28187061,-71.08751152,"(42.28187061, -71.08751152)",2018-09-02
249,I182070649,613,Larceny,LARCENY SHOPLIFTING,C11,247,,2018-09-02 19:50:00,2018,9,Sunday,19,Part One,DORCHESTER AVE,42.31322413,-71.05715277,"(42.31322413, -71.05715277)",2018-09-02
289,I182070608,616,Larceny,LARCENY THEFT OF BICYCLE,, ,,2018-09-02 17:15:00,2018,9,Sunday,17,Part One,,42.33974218,-71.07960918,"(42.33974218, -71.07960918)",2018-09-02
291,I182070607,619,Larceny,LARCENY ALL OTHERS,E18,519,,2018-08-24 00:00:00,2018,8,Friday,0,Part One,WALTER ST,42.25667872,-71.11853971,"(42.25667872, -71.11853971)",2018-08-24
295,I182070602,616,Larceny,LARCENY THEFT OF BICYCLE,A1,103,,2018-09-02 16:31:00,2018,9,Sunday,16,Part One,WASHINGTON ST,42.35680075,-71.05893025,"(42.35680075, -71.05893025)",2018-09-02
301,I182070596,619,Larceny,LARCENY ALL OTHERS,C6,216,,2018-09-02 17:29:00,2018,9,Sunday,17,Part One,F ST,42.33382906,-71.05128729,"(42.33382906, -71.05128729)",2018-09-02
314,I182070583,613,Larceny,LARCENY SHOPLIFTING,D4,138,,2018-09-01 14:35:00,2018,9,Saturday,14,Part One,BOYLSTON ST,42.34862382,-71.08277637,"(42.34862382, -71.08277637)",2018-09-01
316,I182070580,617,Larceny,LARCENY THEFT FROM BUILDING,C11,337,,2018-08-25 09:00:00,2018,8,Saturday,9,Part One,PURITAN AVE,42.30736306,-71.07165237,"(42.30736306, -71.07165237)",2018-08-25
327,I182070566,613,Larceny,LARCENY SHOPLIFTING,D4,146,,2018-09-02 14:40:00,2018,9,Sunday,14,Part One,HUNTINGTON AVE,42.3479724,-71.07849582,"(42.34797240, -71.07849582)",2018-09-02
341,I182070553,613,Larceny,LARCENY SHOPLIFTING,A1,102,,2018-09-02 13:20:00,2018,9,Sunday,13,Part One,WINTER ST,42.35554806,-71.0607314,"(42.35554806, -71.06073140)",2018-09-02
351,I182070543,616,Larceny,LARCENY THEFT OF BICYCLE,C11,398,,2018-08-31 23:00:00,2018,8,Friday,23,Part One,WELLES AVE,42.28854881,-71.06894162,"(42.28854881, -71.06894162)",2018-08-31
360,I182070532,613,Larceny,LARCENY SHOPLIFTING,E5,727,,2018-09-02 11:58:00,2018,9,Sunday,11,Part One,VFW PKWY,42.2802082,-71.17087959,"(42.28020820, -71.17087959)",2018-09-02
367,I182070525,619,Larceny,LARCENY ALL OTHERS,C11,397,,2018-09-02 11:45:00,2018,9,Sunday,11,Part One,TALBOT AVE,42.28863812,-71.06631579,"(42.28863812, -71.06631579)",2018-09-02
370,I182070521,613,Larceny,LARCENY SHOPLIFTING,E18,525,,2018-09-02 10:39:00,2018,9,Sunday,10,Part One,TRUMAN PKWY,42.24124926,-71.12629908,"(42.24124926, -71.12629908)",2018-09-02
371,I182070520,613,Larceny,LARCENY SHOPLIFTING,E18,495,,2018-09-02 10:59:00,2018,9,Sunday,10,Part One,HYDE PARK AVE,42.26496475,-71.12123167,"(42.26496475, -71.12123167)",2018-09-02
372,I182070518,613,Larceny,LARCENY SHOPLIFTING,D4,138,,2018-09-01 20:40:00,2018,9,Saturday,20,Part One,BOYLSTON ST,42.34862382,-71.08277637,"(42.34862382, -71.08277637)",2018-09-01
388,I182070499,619,Larceny,LARCENY ALL OTHERS,C6,186,,2018-09-02 09:17:00,2018,9,Sunday,9,Part One,ALLSTATE RD,42.32809966,-71.06321676,"(42.32809966, -71.06321676)",2018-09-02
391,I182070496,619,Larceny,LARCENY ALL OTHERS,B2,318,,2018-09-02 00:00:00,2018,9,Sunday,0,Part One,SEAVER ST,42.30878855,-71.09055618,"(42.30878855, -71.09055618)",2018-09-02
396,I182070491,619,Larceny,LARCENY ALL OTHERS,C11,401,,2018-09-01 18:00:00,2018,9,Saturday,18,Part One,TALBOT AVE,42.28863812,-71.06631579,"(42.28863812, -71.06631579)",2018-09-01
397,I182070489,616,Larceny,LARCENY THEFT OF BICYCLE,D4,619,,2018-09-02 07:33:00,2018,9,Sunday,7,Part One,HUNTINGTON AVE,42.34221544,-71.08577075,"(42.34221544, -71.08577075)",2018-09-02
407,I182070476,619,Larceny,LARCENY ALL OTHERS,D14,795,,2018-09-02 03:56:00,2018,9,Sunday,3,Part One,CAMBRIDGE ST,42.35343384,-71.13786355,"(42.35343384, -71.13786355)",2018-09-02
457,I182070414,613,Larceny,LARCENY SHOPLIFTING,E18,527,,2018-09-01 22:35:00,2018,9,Saturday,22,Part One,WOLCOTT SQ,42.23730137,-71.13232346,"(42.23730137, -71.13232346)",2018-09-01
460,I182070411,613,Larceny,LARCENY SHOPLIFTING,D4,142,,2018-09-01 21:48:00,2018,9,Saturday,21,Part One,NEWBURY ST,42.34840576,-71.08688339,"(42.34840576, -71.08688339)",2018-09-01
462,I182070406,619,Larceny,LARCENY ALL OTHERS,A1,103,,2018-09-01 19:45:00,2018,9,Saturday,19,Part One,WASHINGTON ST,42.35680075,-71.05893025,"(42.35680075, -71.05893025)",2018-09-01
501,I182070370,617,Larceny,LARCENY THEFT FROM BUILDING,A1,80,,2018-09-01 18:58:00,2018,9,Saturday,18,Part One,PRINCE ST,42.36531295,-71.05565803,"(42.36531295, -71.05565803)",2018-09-01
504,I182070366,613,Larceny,LARCENY SHOPLIFTING,A1,87,,2018-09-01 18:18:00,2018,9,Saturday,18,Part One,COMMERCIAL ST,42.36628674,-71.05135503,"(42.36628674, -71.05135503)",2018-09-01
510,I182070360,619,Larceny,LARCENY ALL OTHERS,A1,112,,2018-09-01 16:30:00,2018,9,Saturday,16,Part One,WASHINGTON ST,42.35512339,-71.0608798,"(42.35512339, -71.06087980)",2018-09-01
518,I182070353,612,Larceny,LARCENY PURSE SNATCH - NO FORCE ,A1,117,,2018-09-01 14:20:00,2018,9,Saturday,14,Part One,BOYLSTON ST,42.3523411,-71.06432465,"(42.35234110, -71.06432465)",2018-09-01
524,I182070346,619,Larceny,LARCENY ALL OTHERS,B2,587,,2018-08-31 19:00:00,2018,8,Friday,19,Part One,BURNEY ST,42.33188687,-71.0995439,"(42.33188687, -71.09954390)",2018-08-31
530,I182070340,613,Larceny,LARCENY SHOPLIFTING,B2,311,,2018-09-01 16:23:00,2018,9,Saturday,16,Part One,BLUE HILL AVE,42.3160569,-71.07820017,"(42.31605690, -71.07820017)",2018-09-01
549,I182070323,613,Larceny,LARCENY SHOPLIFTING,D4,129,,2018-09-01 15:53:00,2018,9,Saturday,15,Part One,BOYLSTON ST,42.35095909,-71.0741278,"(42.35095909, -71.07412780)",2018-09-01
590,I182070281,612,Larceny,LARCENY PURSE SNATCH - NO FORCE ,D4,143,,2018-09-01 11:00:00,2018,9,Saturday,11,Part One,BOYLSTON ST,42.34862382,-71.08277637,"(42.34862382, -71.08277637)",2018-09-01
617,I182070251,617,Larceny,LARCENY THEFT FROM BUILDING,E13,575,,2018-09-01 11:04:00,2018,9,Saturday,11,Part One,WASHINGTON ST,42.31330008,-71.10075998,"(42.31330008, -71.10075998)",2018-09-01
635,I182070234,613,Larceny,LARCENY SHOPLIFTING,B2,276,,2018-09-01 09:43:00,2018,9,Saturday,9,Part One,MELNEA CASS BLVD,42.33330171,-71.08181675,"(42.33330171, -71.08181675)",2018-09-01
636,I182070233,619,Larceny,LARCENY ALL OTHERS,B3,416,,2018-08-31 21:38:00,2018,8,Friday,21,Part One,FAIRMOUNT ST,42.28104853,-71.0720644,"(42.28104853, -71.07206440)",2018-08-31
659,I182070208,619,Larceny,LARCENY ALL OTHERS,D14,779,,2018-09-01 05:15:00,2018,9,Saturday,5,Part One,MONTCALM AVE,42.35321122,-71.14841124,"(42.35321122, -71.14841124)",2018-09-01
685,I182070172,619,Larceny,LARCENY ALL OTHERS,A1,117,,2018-09-01 01:52:00,2018,9,Saturday,1,Part One,BOYLSTON ST,42.3523119,-71.0637051,"(42.35231190, -71.06370510)",2018-09-01
698,I182070161,619,Larceny,LARCENY ALL OTHERS,D14,796,,2018-09-01 01:55:00,2018,9,Saturday,1,Part One,BRIGHTON AVE,42.35245899,-71.12805084,"(42.35245899, -71.12805084)",2018-09-01
718,I182070142,619,Larceny,LARCENY ALL OTHERS,A1,103,,2018-08-31 00:54:00,2018,8,Friday,0,Part One,SCHOOL ST,42.3575462,-71.05881953,"(42.35754620, -71.05881953)",2018-08-31
735,I182070124,613,Larceny,LARCENY SHOPLIFTING,E5,691,,2018-08-31 22:49:00,2018,8,Friday,22,Part One,CENTRE ST,42.28747035,-71.1515984,"(42.28747035, -71.15159840)",2018-08-31
736,I182070123,619,Larceny,LARCENY ALL OTHERS,A1,94,,2018-08-31 21:00:00,2018,8,Friday,21,Part One,FANEUIL HALL MARKETPLACE,42.35997967,-71.05474135,"(42.35997967, -71.05474135)",2018-08-31
739,I182070120,619,Larceny,LARCENY ALL OTHERS,D4,135,,2018-08-31 15:30:00,2018,8,Friday,15,Part One,BEACON ST,42.35275712,-71.08240215,"(42.35275712, -71.08240215)",2018-08-31
747,I182070110,611,Larceny,LARCENY PICK-POCKET,C11,356,,2018-08-31 19:06:00,2018,8,Friday,19,Part One,DORCHESTER AVE,42.29919694,-71.06046974,"(42.29919694, -71.06046974)",2018-08-31
760,I182070095,619,Larceny,LARCENY ALL OTHERS,B2,297,,2018-08-31 20:23:00,2018,8,Friday,20,Part One,DALE ST,42.32074773,-71.08179833,"(42.32074773, -71.08179833)",2018-08-31
803,I182070052,617,Larceny,LARCENY THEFT FROM BUILDING,D14,800,,2018-08-31 18:23:00,2018,8,Friday,18,Part One,BRIGHTON AVE,42.35272466,-71.12927406,"(42.35272466, -71.12927406)",2018-08-31
813,I182070042,619,Larceny,LARCENY ALL OTHERS,C11,345,,2018-08-16 05:00:00,2018,8,Thursday,5,Part One,RIDGEWOOD ST,42.30209443,-71.06575183,"(42.30209443, -71.06575183)",2018-08-16
822,I182070034,619,Larceny,LARCENY ALL OTHERS,D14,796,,2018-08-31 15:30:00,2018,8,Friday,15,Part One,CHESTER ST,42.35159398,-71.12865659,"(42.35159398, -71.12865659)",2018-08-31
824,I182070032,617,Larceny,LARCENY THEFT FROM BUILDING,E13,583,,2018-08-31 13:00:00,2018,8,Friday,13,Part One,DAY ST,42.32512297,-71.10777974,"(42.32512297, -71.10777974)",2018-08-31
830,I182070025,613,Larceny,LARCENY SHOPLIFTING,B2,329,,2018-08-31 17:05:00,2018,8,Friday,17,Part One,BLUE HILL AVE,42.30896999,-71.08284839,"(42.30896999, -71.08284839)",2018-08-31
839,I182070015,619,Larceny,LARCENY ALL OTHERS,A1,92,,2018-08-29 15:30:00,2018,8,Wednesday,15,Part One,CITY HALL PLZ,42.35972137,-71.0585236,"(42.35972137, -71.05852360)",2018-08-29
843,I182070011,616,Larceny,LARCENY THEFT OF BICYCLE,D4,130,,2018-08-31 14:00:00,2018,8,Friday,14,Part One,BOYLSTON ST,42.34980175,-71.07840978,"(42.34980175, -71.07840978)",2018-08-31
852,I182069999,617,Larceny,LARCENY THEFT FROM BUILDING,B2,311,,2018-08-21 10:43:00,2018,8,Tuesday,10,Part One,SAVIN ST,42.31719004,-71.08167267,"(42.31719004, -71.08167267)",2018-08-21
881,I182069970,619,Larceny,LARCENY ALL OTHERS,C11,242,,2018-08-12 16:20:00,2018,8,Sunday,16,Part One,BAKERSFIELD ST,42.31567062,-71.0613961,"(42.31567062, -71.06139610)",2018-08-12
897,I182069951,616,Larceny,LARCENY THEFT OF BICYCLE,D4,138,,2018-08-31 09:40:00,2018,8,Friday,9,Part One,NEWBURY ST,42.35059717,-71.07881031,"(42.35059717, -71.07881031)",2018-08-31
898,I182069950,619,Larceny,LARCENY ALL OTHERS,D14,796,,2018-08-31 13:16:00,2018,8,Friday,13,Part One,COMMONWEALTH AVE,42.35107111,-71.12570166,"(42.35107111, -71.12570166)",2018-08-31
900,I182069948,613,Larceny,LARCENY SHOPLIFTING,B2,311,,2018-08-31 12:20:00,2018,8,Friday,12,Part One,WARREN ST,42.3169665,-71.08254058,"(42.31696650, -71.08254058)",2018-08-31
911,I182069935,619,Larceny,LARCENY ALL OTHERS,A1,115,,2018-08-22 13:21:00,2018,8,Wednesday,13,Part One,SOUTH ST,42.3518674,-71.05720373,"(42.35186740, -71.05720373)",2018-08-22
922,I182069921,616,Larceny,LARCENY THEFT OF BICYCLE,A1,83,,2018-08-30 20:00:00,2018,8,Thursday,20,Part One,HENCHMAN ST,42.36721232,-71.05369636,"(42.36721232, -71.05369636)",2018-08-30
935,I182069908,619,Larceny,LARCENY ALL OTHERS,E5,822,,2018-08-30 14:00:00,2018,8,Thursday,14,Part One,WILLERS ST,42.25947104,-71.15077874,"(42.25947104, -71.15077874)",2018-08-30
960,I182069880,619,Larceny,LARCENY ALL OTHERS,A1,66,,2018-08-30 18:15:00,2018,8,Thursday,18,Part One,CHARLES ST,42.35979038,-71.07078234,"(42.35979038, -71.07078234)",2018-08-30
974,I182069865,613,Larceny,LARCENY SHOPLIFTING,D4,149,,2018-08-31 07:12:00,2018,8,Friday,7,Part One,COLUMBUS AVE,42.34657497,-71.0743865,"(42.34657497, -71.07438650)",2018-08-31
988,I182069851,613,Larceny,LARCENY SHOPLIFTING,D4,134,,2018-08-31 02:30:00,2018,8,Friday,2,Part One,BOYLSTON ST,42.3503787,-71.07626098,"(42.35037870, -71.07626098)",2018-08-31
1032,I182069798,613,Larceny,LARCENY SHOPLIFTING,A1,102,,2018-08-30 20:08:00,2018,8,Thursday,20,Part One,WINTER ST,42.35602373,-71.06177615,"(42.35602373, -71.06177615)",2018-08-30
1037,I182069793,616,Larceny,LARCENY THEFT OF BICYCLE,A1,97,,2018-08-30 18:15:00,2018,8,Thursday,18,Part One,SCHOOL ST,42.3575462,-71.05881953,"(42.35754620, -71.05881953)",2018-08-30
1066,I182069758,617,Larceny,LARCENY THEFT FROM BUILDING,E13,504,,2018-08-29 08:30:00,2018,8,Wednesday,8,Part One,MEYER ST,42.28807981,-71.11467175,"(42.28807981, -71.11467175)",2018-08-29
1070,I182069751,613,Larceny,LARCENY SHOPLIFTING,D4,627,,2018-08-30 17:55:00,2018,8,Thursday,17,Part One,KILMARNOCK ST,42.34353469,-71.09980109,"(42.34353469, -71.09980109)",2018-08-30
1072,I182069750,619,Larceny,LARCENY ALL OTHERS,D4,620,,2018-08-30 19:19:00,2018,8,Thursday,19,Part One,BOYLSTON ST,42.34710196,-71.08841746,"(42.34710196, -71.08841746)",2018-08-30
1073,I182069750,617,Larceny,LARCENY THEFT FROM BUILDING,D4,620,,2018-08-30 19:19:00,2018,8,Thursday,19,Part One,BOYLSTON ST,42.34710196,-71.08841746,"(42.34710196, -71.08841746)",2018-08-30
1076,I182069747,619,Larceny,LARCENY ALL OTHERS,B3,469,,2018-08-13 00:00:00,2018,8,Monday,0,Part One,MATTAPAN ST,42.27732507,-71.09483139,"(42.27732507, -71.09483139)",2018-08-13
1080,I182069743,619,Larceny,LARCENY ALL OTHERS,C11,340,,2018-08-25 14:00:00,2018,8,Saturday,14,Part One,ADAMS ST,42.3078206,-71.06336696,"(42.30782060, -71.06336696)",2018-08-25
1081,I182069742,613,Larceny,LARCENY SHOPLIFTING,D4,146,,2018-08-29 12:13:00,2018,8,Wednesday,12,Part One,HUNTINGTON AVE,42.3479724,-71.07849582,"(42.34797240, -71.07849582)",2018-08-29
1085,I182069738,619,Larceny,LARCENY ALL OTHERS,A1,119,,2018-08-30 16:00:00,2018,8,Thursday,16,Part One,TREMONT ST,42.35540738,-71.06312433,"(42.35540738, -71.06312433)",2018-08-30
1087,I182069737,613,Larceny,LARCENY SHOPLIFTING,C6,186,,2018-08-30 17:44:00,2018,8,Thursday,17,Part One,MASSACHUSETTS AVE,42.32553801,-71.06579592,"(42.32553801, -71.06579592)",2018-08-30
1097,I182069729,617,Larceny,LARCENY THEFT FROM BUILDING,C11,337,,2018-08-30 17:23:00,2018,8,Thursday,17,Part One,COLUMBIA RD,42.30889362,-71.07410474,"(42.30889362, -71.07410474)",2018-08-30
1104,I182069719,613,Larceny,LARCENY SHOPLIFTING,D4,143,,2018-08-30 16:09:00,2018,8,Thursday,16,Part One,BOYLSTON ST,42.34862382,-71.08277637,"(42.34862382, -71.08277637)",2018-08-30
1108,I182069715,619,Larceny,LARCENY ALL OTHERS,D4,155,,2018-08-30 13:30:00,2018,8,Thursday,13,Part One,CONCORD SQ,42.34138415,-71.07898883,"(42.34138415, -71.07898883)",2018-08-30
1119,I182069702,613,Larceny,LARCENY SHOPLIFTING,D14,812,,2018-08-30 14:42:00,2018,8,Thursday,14,Part One,N HARVARD ST,42.36402978,-71.1286334,"(42.36402978, -71.12863340)",2018-08-30
1132,I182069689,616,Larceny,LARCENY THEFT OF BICYCLE,E13,575,,2018-08-29 17:00:00,2018,8,Wednesday,17,Part One,BOYLSTON ST,42.31433686,-71.10151543,"(42.31433686, -71.10151543)",2018-08-29
1139,I182069682,613,Larceny,LARCENY SHOPLIFTING,D4,137,,2018-08-30 12:56:00,2018,8,Thursday,12,Part One,NEWBURY ST,42.3494205,-71.083158,"(42.34942050, -71.08315800)",2018-08-30
1141,I182069680,613,Larceny,LARCENY SHOPLIFTING,C11,337,,2018-08-30 15:09:00,2018,8,Thursday,15,Part One,GENEVA AVE,42.30461251,-71.07296566,"(42.30461251, -71.07296566)",2018-08-30
1156,I182069663,613,Larceny,LARCENY SHOPLIFTING,D4,157,,2018-08-30 14:00:00,2018,8,Thursday,14,Part One,W CONCORD ST,42.33961962,-71.07699237,"(42.33961962, -71.07699237)",2018-08-30
1180,I182069636,619,Larceny,LARCENY ALL OTHERS,D14,766,,2018-08-27 07:45:00,2018,8,Monday,7,Part One,RIVERVIEW RD,42.35724801,-71.1592004,"(42.35724801, -71.15920040)",2018-08-27
1196,I182069617,619,Larceny,LARCENY ALL OTHERS,D4,167,,2018-08-30 11:05:00,2018,8,Thursday,11,Part One,E CANTON ST,42.33789065,-71.06919427,"(42.33789065, -71.06919427)",2018-08-30
1200,I182069613,619,Larceny,LARCENY ALL OTHERS,C6,186,,2018-08-30 11:05:00,2018,8,Thursday,11,Part One,MASSACHUSETTS AVE,42.32553801,-71.06579592,"(42.32553801, -71.06579592)",2018-08-30
1228,I182069580,616,Larceny,LARCENY THEFT OF BICYCLE,A1,84,,2018-08-29 20:30:00,2018,8,Wednesday,20,Part One,N BENNET CT,42.36541097,-71.05469867,"(42.36541097, -71.05469867)",2018-08-29
1253,I182069559,619,Larceny,LARCENY ALL OTHERS,C6,203,,2018-08-28 09:00:00,2018,8,Tuesday,9,Part One,SUMMER ST,42.3465477,-71.04284093,"(42.34654770, -71.04284093)",2018-08-28
1258,I182069553,617,Larceny,LARCENY THEFT FROM BUILDING,D4,170,,2018-08-30 07:21:00,2018,8,Thursday,7,Part One,E SPRINGFIELD ST,42.3360292,-71.07517847,"(42.33602920, -71.07517847)",2018-08-30
1282,I182069521,613,Larceny,LARCENY SHOPLIFTING,D14,790,,2018-08-30 00:31:00,2018,8,Thursday,0,Part One,BEACON ST,42.33610729,-71.14908783,"(42.33610729, -71.14908783)",2018-08-30
1293,I182069512,616,Larceny,LARCENY THEFT OF BICYCLE,D4,170,,2018-08-28 08:30:00,2018,8,Tuesday,8,Part One,E SPRINGFIELD ST,42.3360292,-71.07517847,"(42.33602920, -71.07517847)",2018-08-28
1306,I182069497,617,Larceny,LARCENY THEFT FROM BUILDING,C11,332,,2018-08-29 09:30:00,2018,8,Wednesday,9,Part One,COLUMBIA RD,42.3119196,-71.06913007,"(42.31191960, -71.06913007)",2018-08-29
1315,I182069482,616,Larceny,LARCENY THEFT OF BICYCLE,B2,605,,2018-08-29 03:50:00,2018,8,Wednesday,3,Part One,PARKER HILL AVE,42.33267994,-71.109579,"(42.33267994, -71.10957900)",2018-08-29
1329,I182069462,613,Larceny,LARCENY SHOPLIFTING,A1,111,,2018-08-29 18:30:00,2018,8,Wednesday,18,Part One,WASHINGTON ST,42.35272948,-71.06256291,"(42.35272948, -71.06256291)",2018-08-29
1331,I182069460,616,Larceny,LARCENY THEFT OF BICYCLE,A1,104,,2018-08-29 07:30:00,2018,8,Wednesday,7,Part One,FRANKLIN ST,42.35603279,-71.05919355,"(42.35603279, -71.05919355)",2018-08-29
1346,I182069446,619,Larceny,LARCENY ALL OTHERS,B3,425,,2018-08-29 16:25:00,2018,8,Wednesday,16,Part One,BLUE HILL AVE,42.27219089,-71.09351043,"(42.27219089, -71.09351043)",2018-08-29
1375,I182069414,619,Larceny,LARCENY ALL OTHERS,B3,432,,2018-08-29 17:59:00,2018,8,Wednesday,17,Part One,WOODROW AVE,42.28712049,-71.08421139,"(42.28712049, -71.08421139)",2018-08-29
1378,I182069410,613,Larceny,LARCENY SHOPLIFTING,A1,93,,2018-08-29 16:45:00,2018,8,Wednesday,16,Part One,FANEUIL HALL SQ,42.36020464,-71.05620816,"(42.36020464, -71.05620816)",2018-08-29
1384,I182069404,617,Larceny,LARCENY THEFT FROM BUILDING,D4,171,,2018-08-28 07:00:00,2018,8,Tuesday,7,Part One,HARRISON AVE,42.33511904,-71.0749171,"(42.33511904, -71.07491710)",2018-08-28
1385,I182069403,613,Larceny,LARCENY SHOPLIFTING,E13,304,,2018-08-29 17:08:00,2018,8,Wednesday,17,Part One,COLUMBUS AVE,42.31771534,-71.09823049,"(42.31771534, -71.09823049)",2018-08-29
1388,I182069399,619,Larceny,LARCENY ALL OTHERS,B3,429,,2018-08-29 17:16:00,2018,8,Wednesday,17,Part One,WOODROW AVE,42.28647012,-71.08714661,"(42.28647012, -71.08714661)",2018-08-29
1395,I182069391,613,Larceny,LARCENY SHOPLIFTING,D4,133,,2018-08-29 16:19:00,2018,8,Wednesday,16,Part One,NEWBURY ST,42.35237073,-71.07227173,"(42.35237073, -71.07227173)",2018-08-29
1396,I182069390,617,Larceny,LARCENY THEFT FROM BUILDING,A1,173,,2018-08-28 20:45:00,2018,8,Tuesday,20,Part One,ATLANTIC AVE,42.35218278,-71.0556788,"(42.35218278, -71.05567880)",2018-08-28
1399,I182069386,619,Larceny,LARCENY ALL OTHERS,D14,760,,2018-08-28 19:29:00,2018,8,Tuesday,19,Part One,WASHINGTON ST,42.34934252,-71.16386818,"(42.34934252, -71.16386818)",2018-08-28
1402,I182069382,616,Larceny,LARCENY THEFT OF BICYCLE,D4,166,,2018-08-29 13:00:00,2018,8,Wednesday,13,Part One,WALTHAM ST,42.34241441,-71.06969105,"(42.34241441, -71.06969105)",2018-08-29
1447,I182069330,617,Larceny,LARCENY THEFT FROM BUILDING,D4,619,,2018-08-29 10:00:00,2018,8,Wednesday,10,Part One,HUNTINGTON AVE,42.34221544,-71.08577075,"(42.34221544, -71.08577075)",2018-08-29
1451,I182069326,613,Larceny,LARCENY SHOPLIFTING,C11,373,,2018-08-29 13:20:00,2018,8,Wednesday,13,Part One,FREEPORT ST,42.29234068,-71.04803996,"(42.29234068, -71.04803996)",2018-08-29
1453,I182069325,619,Larceny,LARCENY ALL OTHERS,C6,225,,2018-08-09 12:00:00,2018,8,Thursday,12,Part One,E BROADWAY,42.33554421,-71.0407501,"(42.33554421, -71.04075010)",2018-08-09
1483,I182069289,613,Larceny,LARCENY SHOPLIFTING,A1,66,,2018-08-29 10:11:00,2018,8,Wednesday,10,Part One,CHARLES ST,42.3606447,-71.07086192,"(42.36064470, -71.07086192)",2018-08-29
1491,I182069281,617,Larceny,LARCENY THEFT FROM BUILDING,A1,97,,2018-08-04 14:00:00,2018,8,Saturday,14,Part One,BOSTON PL,42.35883413,-71.05807509,"(42.35883413, -71.05807509)",2018-08-04
