,INCIDENT_NUMBER,OFFENSE_CODE,OFFENSE_CODE_GROUP,OFFENSE_DESCRIPTION,DISTRICT,REPORTING_AREA,SHOOTING,OCCURRED_ON_DATE,YEAR,MONTH,DAY_OF_WEEK,HOUR,UCR_PART,STREET,Lat,Long,Location,date
63009,I182003492,617,Larceny,LARCENY THEFT FROM BUILDING,A1,111,,2018-01-13 02:58:00,2018,1,Saturday,2,Part One,WASHINGTON ST,42.35358129,-71.06236665,"(42.35358129, -71.06236665)",2018-01-13
63024,I182003477,613,Larceny,LARCENY SHOPLIFTING,A1,94,,2018-01-13 17:49:00,2018,1,Saturday,17,Part One,STATE ST,42.35942556,-71.05288819,"(42.35942556, -71.05288819)",2018-01-13
63043,I182003461,619,Larceny,LARCENY ALL OTHERS,A1,94,,2018-01-12 23:30:00,2018,1,Friday,23,Part One,COMMERCIAL ST,42.35952721,-71.05358839,"(42.35952721, -71.05358839)",2018-01-12
63061,I182003446,613,Larceny,LARCENY SHOPLIFTING,A1,109,,2018-01-13 15:35:00,2018,1,Saturday,15,Part One,BROAD ST,42.35736588,-71.05250551,"(42.35736588, -71.05250551)",2018-01-13
63069,I182003438,617,Larceny,LARCENY THEFT FROM BUILDING,D4,135,,2018-01-13 16:28:00,2018,1,Saturday,16,Part One,BEACON ST,42.35218613,-71.08452171,"(42.35218613, -71.08452171)",2018-01-13
63077,I182003429,613,Larceny,LARCENY SHOPLIFTING,C6,186,,2018-01-13 15:09:00,2018,1,Saturday,15,Part One,ALLSTATE RD,42.32809966,-71.06321676,"(42.32809966, -71.06321676)",2018-01-13
63087,I182003421,619,Larceny,LARCENY ALL OTHERS,D4,598,,2018-01-13 14:50:00,2018,1,Saturday,14,Part One,DALTON ST,42.34634313,-71.08482013,"(42.34634313, -71.08482013)",2018-01-13
63092,I182003417,617,Larceny,LARCENY THEFT FROM BUILDING,A1,66,,2018-01-13 14:41:00,2018,1,Saturday,14,Part One,CHARLES ST,42.36033536,-71.07081975,"(42.36033536, -71.07081975)",2018-01-13
63124,I182003386,617,Larceny,LARCENY THEFT FROM BUILDING,, ,,2018-01-13 07:30:00,2018,1,Saturday,7,Part One,COLUMBUS,-1.0,-1.0,"(-1.00000000, -1.00000000)",2018-01-13
63127,I182003381,617,Larceny,LARCENY THEFT FROM BUILDING,E5,687,,2018-01-13 12:17:00,2018,1,Saturday,12,Part One,ALDRICH ST,42.28565795,-71.13978042,"(42.28565795, -71.13978042)",2018-01-13
63150,I182003360,617,Larceny,LARCENY THEFT FROM BUILDING,D14,795,,2018-01-13 12:17:00,2018,1,Saturday,12,Part One,ARMINGTON ST,42.35258991,-71.13683423,"(42.35258991, -71.13683423)",2018-01-13
63153,I182003356,613,Larceny,LARCENY SHOPLIFTING,C6,186,,2018-01-13 11:22:00,2018,1,Saturday,11,Part One,ALLSTATE RD,42.32696647,-71.06198607,"(42.32696647, -71.06198607)",2018-01-13
63203,I182003307,617,Larceny,LARCENY THEFT FROM BUILDING,D4,168,,2018-01-11 18:00:00,2018,1,Thursday,18,Part One,WASHINGTON ST,42.33816387,-71.07461217,"(42.33816387, -71.07461217)",2018-01-11
63233,I182003269,617,Larceny,LARCENY THEFT FROM BUILDING,D4,151,,2018-01-13 00:18:00,2018,1,Saturday,0,Part One,CHANDLER ST,42.34715987,-71.07026381,"(42.34715987, -71.07026381)",2018-01-13
63246,I182003260,619,Larceny,LARCENY ALL OTHERS,A1,117,,2018-01-12 23:11:00,2018,1,Friday,23,Part One,WASHINGTON ST,42.35174282,-71.0627594,"(42.35174282, -71.06275940)",2018-01-12
63264,I182003243,617,Larceny,LARCENY THEFT FROM BUILDING,D4,165,,2018-01-12 22:22:00,2018,1,Friday,22,Part One,E BERKELEY ST,42.34322816,-71.06343087,"(42.34322816, -71.06343087)",2018-01-12
63285,I182003216,613,Larceny,LARCENY SHOPLIFTING,D4,143,,2018-01-12 19:30:00,2018,1,Friday,19,Part One,BOYLSTON ST,42.34862382,-71.08277637,"(42.34862382, -71.08277637)",2018-01-12
63286,I182003215,613,Larceny,LARCENY SHOPLIFTING,B3,428,,2018-01-12 20:21:00,2018,1,Friday,20,Part One,MORTON ST,42.28187061,-71.08751152,"(42.28187061, -71.08751152)",2018-01-12
63291,I182003211,617,Larceny,LARCENY THEFT FROM BUILDING,A7,27,,2018-01-12 19:15:00,2018,1,Friday,19,Part One,SUMNER ST,42.36967378,-71.04155054,"(42.36967378, -71.04155054)",2018-01-12
63304,I182003197,613,Larceny,LARCENY SHOPLIFTING,A1,105,,2018-01-12 18:00:00,2018,1,Friday,18,Part One,SUMMER ST,42.35450139,-71.05916774,"(42.35450139, -71.05916774)",2018-01-12
63336,I182003163,613,Larceny,LARCENY SHOPLIFTING,A7,26,,2018-01-12 16:37:00,2018,1,Friday,16,Part One,BORDER ST,42.37499333,-71.03982596,"(42.37499333, -71.03982596)",2018-01-12
63343,I182003156,617,Larceny,LARCENY THEFT FROM BUILDING,A1,115,,2018-01-11 16:00:00,2018,1,Thursday,16,Part One,ATLANTIC AVE,42.35160937,-71.05600201,"(42.35160937, -71.05600201)",2018-01-11
63349,I182003149,617,Larceny,LARCENY THEFT FROM BUILDING,D14,774,,2018-01-04 04:00:00,2018,1,Thursday,4,Part One,COMMONWEALTH AVE,42.33836272,-71.15441001,"(42.33836272, -71.15441001)",2018-01-04
63392,I182003103,617,Larceny,LARCENY THEFT FROM BUILDING,B2,330,,2018-01-12 12:22:00,2018,1,Friday,12,Part One,WASHINGTON ST,42.30576686,-71.08097517,"(42.30576686, -71.08097517)",2018-01-12
63398,I182003093,617,Larceny,LARCENY THEFT FROM BUILDING,C6,210,,2017-12-29 10:28:00,2017,12,Friday,10,Part One,D ST,42.34454105,-71.04416497,"(42.34454105, -71.04416497)",2017-12-29
63415,I182003076,613,Larceny,LARCENY SHOPLIFTING,D4,146,,2018-01-12 12:08:00,2018,1,Friday,12,Part One,HUNTINGTON AVE,42.3479724,-71.07849582,"(42.34797240, -71.07849582)",2018-01-12
63427,I182003067,617,Larceny,LARCENY THEFT FROM BUILDING,C6,225,,2018-01-10 15:00:00,2018,1,Wednesday,15,Part One,E BROADWAY,42.33550576,-71.04291647,"(42.33550576, -71.04291647)",2018-01-10
63443,I182003051,613,Larceny,LARCENY SHOPLIFTING,B3,476,,2018-01-12 11:52:00,2018,1,Friday,11,Part One,BLUE HILL AVE,42.26994732,-71.09380308,"(42.26994732, -71.09380308)",2018-01-12
63484,I182003002,613,Larceny,LARCENY SHOPLIFTING,D4,146,,2018-01-10 19:59:00,2018,1,Wednesday,19,Part One,HUNTINGTON AVE,42.3479724,-71.07849582,"(42.34797240, -71.07849582)",2018-01-10
63500,I182002988,619,Larceny,LARCENY ALL OTHERS,D4, ,,2018-01-12 09:12:00,2018,1,Friday,9,Part One,BELVIDERE ST,,,"(0.00000000, 0.00000000)",2018-01-12
63513,I182002973,617,Larceny,LARCENY THEFT FROM BUILDING,D4,591,,2018-01-12 07:48:00,2018,1,Friday,7,Part One,HEMENWAY ST,42.34507026,-71.08960466,"(42.34507026, -71.08960466)",2018-01-12
63570,I182002895,613,Larceny,LARCENY SHOPLIFTING,E18,479,,2018-01-11 20:30:00,2018,1,Thursday,20,Part One,CUMMINS HWY,42.27156283,-71.10594428,"(42.27156283, -71.10594428)",2018-01-11
63586,I182002879,617,Larceny,LARCENY THEFT FROM BUILDING,D14,782,,2018-01-11 13:00:00,2018,1,Thursday,13,Part One,RODNEY ST,42.35124688,-71.14510451,"(42.35124688, -71.14510451)",2018-01-11
63619,I182002849,616,Larceny,LARCENY THEFT OF BICYCLE,A1,111,,2018-01-10 19:30:00,2018,1,Wednesday,19,Part One,AVENUE DE LAFAYETTE,42.35389258,-71.06214998,"(42.35389258, -71.06214998)",2018-01-10
63628,I182002840,619,Larceny,LARCENY ALL OTHERS,A1,444,,2018-01-11 16:21:00,2018,1,Thursday,16,Part One,THACHER ST,42.36531759,-71.05707791,"(42.36531759, -71.05707791)",2018-01-11
